# Sample data for Pairplot
# z列: 省略可能。0=グループA, 1=グループB などで指定。
a	b	c	z
514	30477099	28326340	0
120	5836441	8053643	0
118	3727754	9264907	0
228	11361335	14068091	0
93	16905520	7024891	0
104	5778715	7970357	0
179	50800151	15099391	0
284	42285519	23157141	0
191	10882141	15710376	0
191	4964883	15327090	0
734	556766	36923828	0
627	78260371	34796653	0
1404	6395510	75247296	1
923	75400360	46286918	0
215	38338057	16192034	0
102	15336310	10505747	0	
112	10550917	9206716	0
75	35880717	7430479	1
80	2639480	5873908	0
202	7433294	14772092	0
195	9086440	14835496	0
358	6848930	27786565	0
750	66751285	56442377	0
174	15525735	19699094	0
141	157704	12692041	0
255	11571818	15443744	0
878	16155183	53773828	0
540	44551763	37626366	0
131	941428	6639510	0
90	3466658	5866643	0
54	2266233	3492837	0
66	13015474	5022853	0
186	6896716	15702046	0
276	11709098	19434497	0
131	20780844	11221899	0
70	18192759	6015597	0
93	4514042	7185664	0
131	15204437	8768655	0
68	3566591	3985071	0
512	11893768	30373430	0
80	7511786	6537689	0
128	28817140	7808372	0
172	10776446	11462259	0
111	21653581	8484100	0
105	4882032	6802892	0
156	16573654	9902715	0
147	7754162	7931180	0
